No,Position Level,Position Title,State,Age,Years of Exp.,Industry,Qualification,Salary (Rp)
510,CEO  /  GM  /  Director  /  Senior Manager,Finance Manager,Banten,45,21,Services,Bachelor's Degree,25000000
511,CEO  /  GM  /  Director  /  Senior Manager,Finance Manager,Jawa Barat,45,21,IT / Telecommunication,Bachelor's Degree,11000000
512,CEO  /  GM  /  Director  /  Senior Manager,Finance Manager,Jawa Barat,44,20,Automotive / Heavy Industry,Master's Degree / Post Graduate Degree,25000000
513,CEO  /  GM  /  Director  /  Senior Manager,Finance Manager,Jakarta Raya,44,21,Transport / Storage / Freight / Shipping,Bachelor's Degree,23000000
514,CEO  /  GM  /  Director  /  Senior Manager,Finance Manager,Jawa Barat,44,22,Construction,Master's Degree / Post Graduate Degree,22000000
515,CEO  /  GM  /  Director  /  Senior Manager,Finance Manager,Jawa Barat,44,23,Others,Master's Degree / Post Graduate Degree,15000000
516,CEO  /  GM  /  Director  /  Senior Manager,Finance Manager,Jakarta Raya,43,22,Wholesale / Retail / Trading,Bachelor's Degree,30000000
517,CEO  /  GM  /  Director  /  Senior Manager,Finance Manager,Jakarta Raya,43,19,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,23000000
518,CEO  /  GM  /  Director  /  Senior Manager,Finance Manager,Jakarta Raya,43,20,Wholesale / Retail / Trading,Bachelor's Degree,16900000
519,CEO  /  GM  /  Director  /  Senior Manager,Finance Manager,Lampung,42,18,Wholesale / Retail / Trading,Bachelor's Degree,26000000
520,CEO  /  GM  /  Director  /  Senior Manager,Finance Manager,Jakarta Raya,42,20,Construction,Associate Degree,22000000
521,CEO  /  GM  /  Director  /  Senior Manager,Finance Manager,Jakarta Raya,41,19,Manufacturing,Bachelor's Degree,35000000
522,CEO  /  GM  /  Director  /  Senior Manager,Finance Manager,Banten,41,18,Manufacturing,Bachelor's Degree,28000000
523,CEO  /  GM  /  Director  /  Senior Manager,Finance Manager,Jakarta Raya,41,12,Wholesale / Retail / Trading,Master's Degree / Post Graduate Degree,13500000
524,CEO  /  GM  /  Director  /  Senior Manager,Finance Manager,Bali,41,15,Services,Master's Degree / Post Graduate Degree,10000000
525,CEO  /  GM  /  Director  /  Senior Manager,Finance Manager,Jakarta Raya,40,18,Manufacturing,Bachelor's Degree,35000000
526,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jakarta Raya,54,29,0,Bachelor's Degree,19000000
527,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jakarta Raya,50,24,IT / Telecommunication,Bachelor's Degree,23000000
528,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Banten,49,23,IT / Telecommunication,Bachelor's Degree,15000000
529,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jawa Barat,48,21,Science / Technology,Bachelor's Degree,25000000
530,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jawa Barat,48,22,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,11000000
531,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jawa Barat,47,25,Services,Bachelor's Degree,22500000
532,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jakarta Raya,47,23,Construction,Bachelor's Degree,15000000
533,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jakarta Raya,46,22,Others,Master's Degree / Post Graduate Degree,25000000
534,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jawa Barat,46,23,Others,Bachelor's Degree,22000000
535,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jakarta Raya,45,20,Manufacturing,Bachelor's Degree,23400000
536,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jawa Barat,45,19,IT / Telecommunication,Bachelor's Degree,12000000
537,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jakarta Raya,44,23,Energy / Electricity / Water / Natural Resources,Associate Degree,24000000
538,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jawa Barat,44,20,Manufacturing,Bachelor's Degree,20000000
539,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jawa Barat,44,17,Services,Bachelor's Degree,18000000
540,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jakarta Raya,43,18,Wholesale / Retail / Trading,Bachelor's Degree,25000000
541,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Banten,43,22,Services,Bachelor's Degree,22500000
542,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jakarta Raya,43,20,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,16500000
543,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jakarta Raya,42,19,Transport / Storage / Freight / Shipping,Associate Degree,12000000
544,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jakarta Raya,41,17,Manufacturing,Bachelor's Degree,25000000
545,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jakarta Raya,41,17,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,25000000
546,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jawa Barat,41,15,Construction,Bachelor's Degree,25000000
547,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jakarta Raya,41,10,Wholesale / Retail / Trading,Bachelor's Degree,23000000
548,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Banten,41,22,Manufacturing,Bachelor's Degree,22000000
549,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jakarta Raya,40,13,Services,Bachelor's Degree,25000000
550,CEO  /  GM  /  Director  /  Senior Manager,Business Development Manager,Jakarta Raya,40,18,IT / Telecommunication,Bachelor's Degree,15000000
551,CEO  /  GM  /  Director  /  Senior Manager,Customer Service,Jawa Barat,47,15,Science / Technology,Master's Degree / Post Graduate Degree,10000000
552,CEO  /  GM  /  Director  /  Senior Manager,Customer Service,Jakarta Raya,34,7,Services,Associate Degree,2000000
553,Manager  /  Assistant Manager,Customer Service,Jakarta Raya,48,24,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,8000000
554,Manager  /  Assistant Manager,Customer Service,Jawa Barat,48,24,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,4000000
555,Manager  /  Assistant Manager,Customer Service,Jawa Barat,45,19,Finance / Securities / Insurance / Real Estate,Associate Degree,11000000
556,Manager  /  Assistant Manager,Customer Service,Jakarta Raya,44,9,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,8000000
557,Manager  /  Assistant Manager,Customer Service,Jakarta Raya,43,20,Manufacturing,Bachelor's Degree,7500000
558,Manager  /  Assistant Manager,Customer Service,Jakarta Raya,42,15,Transport / Storage / Freight / Shipping,Bachelor's Degree,12500000
559,Manager  /  Assistant Manager,Customer Service,Jakarta Raya,42,15,Services,Bachelor's Degree,6000000
560,Manager  /  Assistant Manager,Customer Service,Jakarta Raya,39,18,Others,Bachelor's Degree,8000000
561,Manager  /  Assistant Manager,Customer Service,Jawa Timur,38,10,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,10000000
562,Manager  /  Assistant Manager,Customer Service,Jawa Barat,37,11,0,Bachelor's Degree,11000000
563,Manager  /  Assistant Manager,Customer Service,Banten,37,15,Transport / Storage / Freight / Shipping,Bachelor's Degree,11000000
564,Manager  /  Assistant Manager,Customer Service,Jakarta Raya,37,18,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,10000000
565,Manager  /  Assistant Manager,Customer Service,Jakarta Raya,37,14,Services,Bachelor's Degree,6000000
566,Manager  /  Assistant Manager,Customer Service,Jawa Barat,36,11,Transport / Storage / Freight / Shipping,Bachelor's Degree,9500000
567,Manager  /  Assistant Manager,Customer Service,Jawa Timur,36,12,Science / Technology,Bachelor's Degree,7000000
568,Manager  /  Assistant Manager,Customer Service,Jawa Barat,35,9,Others,Bachelor's Degree,12500000
569,Manager  /  Assistant Manager,Customer Service,Jakarta Raya,35,12,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,10000000
570,Manager  /  Assistant Manager,Customer Service,Jakarta Raya,35,10,Manufacturing,Bachelor's Degree,9000000
571,Manager  /  Assistant Manager,Customer Service,Banten,35,9,Finance / Securities / Insurance / Real Estate,Associate Degree,8000000
572,Manager  /  Assistant Manager,Customer Service,Jawa Barat,34,10,Manufacturing,Bachelor's Degree,11000000
573,Manager  /  Assistant Manager,Customer Service,Jawa Barat,34,11,Transport / Storage / Freight / Shipping,Bachelor's Degree,10500000
574,Manager  /  Assistant Manager,Customer Service,Jakarta Raya,34,12,Others,Bachelor's Degree,10000000
575,Manager  /  Assistant Manager,Customer Service,Jakarta Raya,34,13,Wholesale / Retail / Trading,Bachelor's Degree,8000000
576,Manager  /  Assistant Manager,Quantity Surveyor,Jawa Barat,48,25,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,18750000
577,Manager  /  Assistant Manager,Quantity Surveyor,Jakarta Raya,43,21,Finance / Securities / Insurance / Real Estate,Associate Degree,10500000
578,Manager  /  Assistant Manager,Quantity Surveyor,Jawa Barat,40,13,Construction,Bachelor's Degree,10000000
579,Manager  /  Assistant Manager,Quantity Surveyor,Jakarta Raya,40,13,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,8500000
580,Manager  /  Assistant Manager,Quantity Surveyor,Jawa Barat,37,16,Construction,Associate Degree,15000000
581,Manager  /  Assistant Manager,Quantity Surveyor,Jakarta Raya,36,13,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,17000000
582,Manager  /  Assistant Manager,Quantity Surveyor,Jakarta Raya,36,13,Services,Bachelor's Degree,15000000
583,Manager  /  Assistant Manager,Quantity Surveyor,Jawa Timur,36,14,Finance / Securities / Insurance / Real Estate,Associate Degree,11000000
584,Manager  /  Assistant Manager,Quantity Surveyor,Jakarta Raya,36,11,Wholesale / Retail / Trading,Bachelor's Degree,8500000
585,Manager  /  Assistant Manager,Quantity Surveyor,Jawa Barat,35,11,Construction,Bachelor's Degree,15000000
586,Manager  /  Assistant Manager,Quantity Surveyor,Jakarta Raya,35,10,Construction,Bachelor's Degree,12000000
587,Manager  /  Assistant Manager,Quantity Surveyor,Jawa Barat,35,11,Construction,Bachelor's Degree,9500000
588,Manager  /  Assistant Manager,Quantity Surveyor,Jakarta Raya,35,12,0,Bachelor's Degree,8000000
589,Manager  /  Assistant Manager,Quantity Surveyor,Jawa Barat,34,11,Construction,Bachelor's Degree,15000000
590,Manager  /  Assistant Manager,Quantity Surveyor,Jakarta Raya,34,10,Construction,Bachelor's Degree,11000000
591,Manager  /  Assistant Manager,Quantity Surveyor,Jawa Tengah,33,11,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,10000000
592,Manager  /  Assistant Manager,Quantity Surveyor,Jakarta Raya,33,10,Construction,Bachelor's Degree,10000000
593,Manager  /  Assistant Manager,Quantity Surveyor,Sumatera Selatan,28,5,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,7500000
594,Manager  /  Assistant Manager,Quantity Surveyor,Jawa Tengah,28,4,Construction,Bachelor's Degree,5000000
595,Manager  /  Assistant Manager,Quantity Surveyor,Jakarta Raya,26,6,Construction,Bachelor's Degree,10500000
596,Supervisor  /  Coordinator,Quantity Surveyor,Jawa Barat,48,23,Construction,Bachelor's Degree,18500000
597,Supervisor  /  Coordinator,Quantity Surveyor,Jakarta Raya,46,16,Construction,Bachelor's Degree,18000000
598,Supervisor  /  Coordinator,Quantity Surveyor,Banten,45,19,Construction,Master's Degree / Post Graduate Degree,8000000
599,Supervisor  /  Coordinator,Quantity Surveyor,Jakarta Raya,43,20,Construction,Bachelor's Degree,10000000
600,Supervisor  /  Coordinator,Quantity Surveyor,Jawa Barat,43,19,Construction,Associate Degree,6050000
601,CEO  /  GM  /  Director  /  Senior Manager,Auditor,Jawa Timur,50,26,Wholesale / Retail / Trading,Bachelor's Degree,15000000
602,CEO  /  GM  /  Director  /  Senior Manager,Auditor,Jawa Barat,45,22,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,14100000
603,CEO  /  GM  /  Director  /  Senior Manager,Auditor,Jawa Barat,42,18,0,Bachelor's Degree,13000000
604,CEO  /  GM  /  Director  /  Senior Manager,Auditor,Jakarta Raya,36,11,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,13000000
605,CEO  /  GM  /  Director  /  Senior Manager,Auditor,Jawa Barat,36,7,Services,Bachelor's Degree,10000000
606,CEO  /  GM  /  Director  /  Senior Manager,Auditor,Jakarta Raya,32,10,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,15000000
607,CEO  /  GM  /  Director  /  Senior Manager,Auditor,Jawa Barat,32,5,Automotive / Heavy Industry,Bachelor's Degree,5000000
608,Manager  /  Assistant Manager,Auditor,Jakarta Raya,59,33,Services,Master's Degree / Post Graduate Degree,2500000
609,Manager  /  Assistant Manager,Auditor,Jakarta Raya,55,32,Wholesale / Retail / Trading,Master's Degree / Post Graduate Degree,15000000
610,Manager  /  Assistant Manager,Auditor,Jawa Barat,53,27,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,9500000
611,Manager  /  Assistant Manager,Auditor,Jawa Timur,50,27,Manufacturing,Bachelor's Degree,12500000
612,Manager  /  Assistant Manager,Auditor,Jakarta Raya,48,24,Services,Bachelor's Degree,15000000
613,Manager  /  Assistant Manager,Auditor,Jakarta Raya,48,17,0,Bachelor's Degree,7500000
614,Manager  /  Assistant Manager,Auditor,Jawa Timur,45,18,Manufacturing,Associate Degree,15000000
615,Manager  /  Assistant Manager,Auditor,Jakarta Raya,44,18,Services,Bachelor's Degree,10000000
616,Manager  /  Assistant Manager,Auditor,Jawa Timur,44,19,Wholesale / Retail / Trading,Bachelor's Degree,5000000
617,Manager  /  Assistant Manager,Auditor,Jakarta Raya,43,23,Others,Master's Degree / Post Graduate Degree,12000000
618,Manager  /  Assistant Manager,Auditor,Jawa Barat,42,19,Agriculture / Plantations / Aquaculture,Associate Degree,15000000
619,Manager  /  Assistant Manager,Auditor,Jawa Barat,42,18,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,15000000
620,Manager  /  Assistant Manager,Auditor,Jakarta Raya,42,15,Automotive / Heavy Industry,Bachelor's Degree,14000000
621,Manager  /  Assistant Manager,Auditor,Jakarta Raya,42,19,Services,Bachelor's Degree,11250000
622,Manager  /  Assistant Manager,Auditor,Banten,42,19,Energy / Electricity / Water / Natural Resources,Associate Degree,9000000
623,Manager  /  Assistant Manager,Auditor,Banten,41,16,0,Master's Degree / Post Graduate Degree,7500000
624,Manager  /  Assistant Manager,Auditor,Jawa Barat,41,15,Services,Master's Degree / Post Graduate Degree,7000000
625,Manager  /  Assistant Manager,Auditor,Jakarta Raya,41,14,0,Master's Degree / Post Graduate Degree,5300000
626,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Jawa Barat,51,29,Energy / Electricity / Water / Natural Resources,Master's Degree / Post Graduate Degree,29000000
627,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Jawa Barat,51,24,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,15000000
628,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Jawa Timur,49,23,Manufacturing,Bachelor's Degree,37000000
629,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Jawa Timur,47,21,Energy / Electricity / Water / Natural Resources,Master's Degree / Post Graduate Degree,30000000
630,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Jakarta Raya,46,19,Wholesale / Retail / Trading,Master's Degree / Post Graduate Degree,35000000
631,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Jakarta Raya,46,16,Others,Master's Degree / Post Graduate Degree,28000000
632,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Jawa Barat,46,18,Automotive / Heavy Industry,Bachelor's Degree,16500000
633,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Banten,46,19,Transport / Storage / Freight / Shipping,Bachelor's Degree,16300000
634,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Jakarta Raya,45,19,Services,Bachelor's Degree,17000000
635,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Sumatera Utara,44,19,Manufacturing,Bachelor's Degree,15000000
636,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Jawa Barat,43,18,Construction,Bachelor's Degree,16000000
637,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Jakarta Raya,42,21,Others,Bachelor's Degree,26000000
638,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Jawa Tengah,42,15,Manufacturing,Bachelor's Degree,18500000
639,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Jawa Barat,41,7,Services,Bachelor's Degree,28000000
640,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Jakarta Raya,41,18,Others,Master's Degree / Post Graduate Degree,22000000
641,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Not Specified,41,17,Wholesale / Retail / Trading,Bachelor's Degree,15000000
642,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Banten,39,13,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,37000000
643,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Lampung,39,17,Agriculture / Plantations / Aquaculture,Bachelor's Degree,30000000
644,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Jawa Barat,39,17,Manufacturing,Bachelor's Degree,27450000
645,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Jakarta Raya,39,14,Others,Bachelor's Degree,25000000
646,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Jakarta Raya,39,13,Others,Master's Degree / Post Graduate Degree,22500000
647,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Banten,38,15,Science / Technology,Master's Degree / Post Graduate Degree,27000000
648,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Banten,38,11,Construction,Master's Degree / Post Graduate Degree,19500000
649,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Jakarta Raya,38,16,Services,Master's Degree / Post Graduate Degree,16000000
650,CEO  /  GM  /  Director  /  Senior Manager,HR Manager,Bali,38,14,Services,Bachelor's Degree,11000000
651,Manager  /  Assistant Manager,System Engineer,Jakarta Raya,42,18,Services,Master's Degree / Post Graduate Degree,5000000
652,Manager  /  Assistant Manager,System Engineer,Jakarta Raya,40,18,IT / Telecommunication,Bachelor's Degree,2000000
653,Manager  /  Assistant Manager,System Engineer,Jakarta Raya,30,6,Science / Technology,Bachelor's Degree,9250000
654,Manager  /  Assistant Manager,System Engineer,Bali,30,7,Services,Bachelor's Degree,6000000
655,Supervisor  /  Coordinator,System Engineer,Jawa Barat,56,37,Science / Technology,Bachelor's Degree,6500000
656,Supervisor  /  Coordinator,System Engineer,Riau,47,24,Manufacturing,Associate Degree,3000000
657,Supervisor  /  Coordinator,System Engineer,Jawa Barat,46,19,Others,Bachelor's Degree,5000000
658,Supervisor  /  Coordinator,System Engineer,Jakarta Raya,45,23,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,4000000
659,Supervisor  /  Coordinator,System Engineer,Jakarta Raya,44,20,Manufacturing,Bachelor's Degree,6380000
660,Supervisor  /  Coordinator,System Engineer,Sumatera Barat,44,24,Services,Bachelor's Degree,4200000
661,Supervisor  /  Coordinator,System Engineer,Jakarta Raya,44,19,IT / Telecommunication,Bachelor's Degree,3500000
662,Supervisor  /  Coordinator,System Engineer,Jakarta Raya,42,15,Services,Bachelor's Degree,8150000
663,Supervisor  /  Coordinator,System Engineer,Banten,42,14,Automotive / Heavy Industry,Bachelor's Degree,6500000
664,Supervisor  /  Coordinator,System Engineer,Jakarta Raya,42,19,IT / Telecommunication,Bachelor's Degree,5000000
665,Supervisor  /  Coordinator,System Engineer,Banten,41,16,IT / Telecommunication,Bachelor's Degree,6500000
666,Supervisor  /  Coordinator,System Engineer,Jawa Barat,41,18,Automotive / Heavy Industry,Bachelor's Degree,2500000
667,Supervisor  /  Coordinator,System Engineer,Lampung,40,11,Manufacturing,Bachelor's Degree,9000000
668,Supervisor  /  Coordinator,System Engineer,Jawa Barat,40,15,IT / Telecommunication,Bachelor's Degree,8500000
669,Supervisor  /  Coordinator,System Engineer,Jakarta Raya,40,17,IT / Telecommunication,Bachelor's Degree,8000000
670,Supervisor  /  Coordinator,System Engineer,Jakarta Raya,40,18,IT / Telecommunication,Bachelor's Degree,5500000
671,Supervisor  /  Coordinator,System Engineer,Jakarta Raya,40,21,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,3500000
672,Supervisor  /  Coordinator,System Engineer,Banten,39,15,Manufacturing,Bachelor's Degree,7000000
673,Supervisor  /  Coordinator,System Engineer,Jawa Barat,38,15,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,6300000
674,Supervisor  /  Coordinator,System Engineer,Jakarta Raya,38,15,Services,Bachelor's Degree,5000000
675,Supervisor  /  Coordinator,System Engineer,Jakarta Raya,38,14,Services,Bachelor's Degree,5000000
676,Manager  /  Assistant Manager,Finance Staff,Kalimantan Barat,37,11,Others,Bachelor's Degree,5000000
677,Manager  /  Assistant Manager,Finance Staff,Jakarta Raya,34,11,Services,Bachelor's Degree,2800000
678,Supervisor  /  Coordinator,Finance Staff,Jakarta Raya,44,20,Services,Bachelor's Degree,2500000
679,Supervisor  /  Coordinator,Finance Staff,Jakarta Raya,41,18,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,4000000
680,Supervisor  /  Coordinator,Finance Staff,Riau,38,12,Construction,Bachelor's Degree,6000000
681,Supervisor  /  Coordinator,Finance Staff,Jawa Barat,35,12,Manufacturing,Associate Degree,4000000
682,Supervisor  /  Coordinator,Finance Staff,Jakarta Raya,35,10,Agriculture / Plantations / Aquaculture,Bachelor's Degree,4000000
683,Supervisor  /  Coordinator,Finance Staff,Jawa Barat,35,11,Manufacturing,Bachelor's Degree,4000000
684,Supervisor  /  Coordinator,Finance Staff,Jakarta Raya,35,10,IT / Telecommunication,Bachelor's Degree,2500000
685,Supervisor  /  Coordinator,Finance Staff,Jakarta Raya,34,12,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,5500000
686,Supervisor  /  Coordinator,Finance Staff,Jawa Barat,34,3,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2300000
687,Supervisor  /  Coordinator,Finance Staff,Bali,33,10,Services,Bachelor's Degree,5400000
688,Supervisor  /  Coordinator,Finance Staff,Jawa Barat,33,9,Automotive / Heavy Industry,Bachelor's Degree,3750000
689,Supervisor  /  Coordinator,Finance Staff,Jakarta Raya,33,8,Automotive / Heavy Industry,Bachelor's Degree,3000000
690,Supervisor  /  Coordinator,Finance Staff,Jakarta Raya,32,10,Services,Associate Degree,6000000
691,Supervisor  /  Coordinator,Finance Staff,Jakarta Raya,32,8,Wholesale / Retail / Trading,Bachelor's Degree,3500000
692,Supervisor  /  Coordinator,Finance Staff,Kalimantan Timur,32,6,IT / Telecommunication,Bachelor's Degree,2500000
693,Supervisor  /  Coordinator,Finance Staff,Jakarta Raya,31,7,Others,Associate Degree,5100000
694,Supervisor  /  Coordinator,Finance Staff,Jakarta Raya,31,9,Services,Associate Degree,3500000
695,Supervisor  /  Coordinator,Finance Staff,Jawa Barat,30,7,Services,Bachelor's Degree,6000000
696,Supervisor  /  Coordinator,Finance Staff,Jawa Barat,30,6,Automotive / Heavy Industry,Bachelor's Degree,3500000
697,Supervisor  /  Coordinator,Finance Staff,Jakarta Raya,29,6,Others,Bachelor's Degree,5200000
698,Supervisor  /  Coordinator,Finance Staff,Jakarta Raya,29,6,Construction,Bachelor's Degree,5000000
699,Supervisor  /  Coordinator,Finance Staff,Jakarta Raya,29,7,Manufacturing,Bachelor's Degree,4800000
700,Supervisor  /  Coordinator,Finance Staff,Jakarta Raya,29,6,Others,Bachelor's Degree,3800000
701,Manager  /  Assistant Manager,IT Support,Jakarta Raya,45,16,IT / Telecommunication,Bachelor's Degree,4000000
702,Manager  /  Assistant Manager,IT Support,Jawa Barat,37,17,Manufacturing,Bachelor's Degree,6500000
703,Manager  /  Assistant Manager,IT Support,Jawa Barat,36,14,Manufacturing,Bachelor's Degree,6500000
704,Manager  /  Assistant Manager,IT Support,Jakarta Raya,34,11,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,5500000
705,Manager  /  Assistant Manager,IT Support,Jawa Tengah,32,8,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,6000000
706,Manager  /  Assistant Manager,IT Support,Jawa Barat,31,8,Science / Technology,Associate Degree,5400000
707,Manager  /  Assistant Manager,IT Support,Jakarta Raya,29,5,Construction,Bachelor's Degree,3000000
708,Supervisor  /  Coordinator,IT Support,Jawa Tengah,50,27,Manufacturing,Bachelor's Degree,3000000
709,Supervisor  /  Coordinator,IT Support,Jawa Timur,44,19,Wholesale / Retail / Trading,Associate Degree,3000000
710,Supervisor  /  Coordinator,IT Support,Sumatera Barat,42,14,Manufacturing,Bachelor's Degree,6500000
711,Supervisor  /  Coordinator,IT Support,Jakarta Raya,42,19,Finance / Securities / Insurance / Real Estate,Associate Degree,4750000
712,Supervisor  /  Coordinator,IT Support,Banten,42,19,Manufacturing,Associate Degree,4000000
713,Supervisor  /  Coordinator,IT Support,Jawa Timur,41,17,0,Bachelor's Degree,4000000
714,Supervisor  /  Coordinator,IT Support,Jawa Barat,40,14,Manufacturing,Bachelor's Degree,5150000
715,Supervisor  /  Coordinator,IT Support,Jakarta Raya,39,15,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,6500000
716,Supervisor  /  Coordinator,IT Support,Jawa Barat,39,16,Services,Bachelor's Degree,5500000
717,Supervisor  /  Coordinator,IT Support,Banten,39,18,Others,Associate Degree,4000000
718,Supervisor  /  Coordinator,IT Support,Jakarta Raya,38,15,Services,Master's Degree / Post Graduate Degree,6000000
719,Supervisor  /  Coordinator,IT Support,Sulawesi Selatan,38,15,Finance / Securities / Insurance / Real Estate,Associate Degree,5000000
720,Supervisor  /  Coordinator,IT Support,Jawa Barat,38,7,Services,Bachelor's Degree,4500000
721,Supervisor  /  Coordinator,IT Support,Jakarta Raya,37,8,Others,Bachelor's Degree,4000000
722,Supervisor  /  Coordinator,IT Support,Jakarta Raya,37,14,Wholesale / Retail / Trading,Bachelor's Degree,3900000
723,Supervisor  /  Coordinator,IT Support,Jawa Timur,37,9,Wholesale / Retail / Trading,Master's Degree / Post Graduate Degree,3200000
724,Supervisor  /  Coordinator,IT Support,Kalimantan Timur,37,10,Science / Technology,Bachelor's Degree,3000000
725,Supervisor  /  Coordinator,IT Support,Jawa Barat,36,14,Services,Bachelor's Degree,6000000
726,CEO  /  GM  /  Director  /  Senior Manager,Marketing,Jakarta Raya,65,28,Services,Master's Degree / Post Graduate Degree,10000000
727,CEO  /  GM  /  Director  /  Senior Manager,Marketing,Jakarta Raya,57,26,Wholesale / Retail / Trading,Master's Degree / Post Graduate Degree,5000000
728,CEO  /  GM  /  Director  /  Senior Manager,Marketing,Jakarta Raya,55,26,IT / Telecommunication,Bachelor's Degree,30000000
729,CEO  /  GM  /  Director  /  Senior Manager,Marketing,Jakarta Raya,55,30,IT / Telecommunication,Bachelor's Degree,30000000
730,CEO  /  GM  /  Director  /  Senior Manager,Marketing,Jakarta Raya,54,26,Wholesale / Retail / Trading,Master's Degree / Post Graduate Degree,12500000
731,CEO  /  GM  /  Director  /  Senior Manager,Marketing,Banten,53,26,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,10000000
732,CEO  /  GM  /  Director  /  Senior Manager,Marketing,Jakarta Raya,52,26,Wholesale / Retail / Trading,Master's Degree / Post Graduate Degree,26000000
733,CEO  /  GM  /  Director  /  Senior Manager,Marketing,Jawa Timur,52,27,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,17500000
